Iteration	access_egress_pt_travel	access_egress_pt_wait	bike_travel	bike_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	ride_school_bus_travel	ride_school_bus_wait	ride_taxi_travel	ride_taxi_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	124.67388888888888	0.0	220.55305555555555	0.0	11852.191111111111	0.0	288.53	0.0	685.5816666666667	471.0138888888889	3887.6675	0.0	113.38333333333334	0.0	71.7	0.0	0.0	0.0	14314.849166666667	0.0
1	169.71083333333334	0.0	452.10055555555556	0.0	11658.829722222223	0.0	288.2997222222222	0.0	776.5080555555555	579.3347222222222	3817.32	0.0	113.60027777777778	0.0	146.5963888888889	0.0	0.0	0.0	14993.356944444444	0.0
2	184.2397222222222	0.0	648.7511111111111	0.0	11541.861666666666	0.0	286.9436111111111	0.0	802.9825	629.7733333333333	3816.6722222222224	0.0	113.60555555555555	0.0	169.71722222222223	0.0	0.0	0.0	15341.0875	0.0
3	169.3527777777778	0.0	636.8791666666667	0.0	11487.474444444444	0.0	286.40444444444444	0.0	806.0122222222222	596.5416666666666	3813.3702777777776	0.0	113.75805555555556	0.0	173.46916666666667	0.0	0.0	0.0	15899.239444444445	0.0
4	169.18944444444443	0.0	686.585	0.0	11447.093333333334	0.0	297.705	0.0	810.6383333333333	580.7566666666667	3802.4241666666667	0.0	113.87444444444445	0.0	180.97166666666666	0.0	0.0	0.0	16164.019166666667	0.0
5	175.45833333333334	0.0	739.7341666666666	0.0	11483.853055555555	0.0	292.93805555555554	0.0	821.5052777777778	590.7911111111111	3817.0775	0.0	113.68972222222222	0.0	177.95083333333332	0.0	0.0	0.0	15943.0925	0.0
6	173.35694444444445	0.0	864.6383333333333	0.0	11443.615277777777	0.0	293.2925	0.0	802.7733333333333	599.0627777777778	3798.095	0.0	114.08	0.0	190.6977777777778	0.0	0.0	0.0	16118.960277777778	0.0
7	168.70777777777778	0.0	816.6330555555555	0.0	11440.638888888889	0.0	287.26666666666665	0.0	817.2883333333333	605.2	3789.261388888889	0.0	113.98361111111112	0.0	187.18944444444443	0.0	0.0	0.0	16207.60861111111	0.0
8	169.25416666666666	0.0	818.2752777777778	0.0	11362.345277777778	0.0	286.63388888888886	0.0	805.1580555555555	598.9188888888889	3825.1311111111113	0.0	114.36305555555556	0.0	211.09444444444443	0.0	0.0	0.0	16192.685277777779	0.0
9	209.09722222222223	0.0	748.7597222222222	0.0	11318.836111111112	0.0	287.3902777777778	0.0	872.5672222222222	661.7894444444445	3811.9519444444445	0.0	114.20583333333333	0.0	228.27972222222223	0.0	0.0	0.0	16188.1325	0.0
10	240.1725	0.0	806.4430555555556	0.0	11296.389166666666	0.0	289.2397222222222	0.0	871.9838888888889	690.3786111111111	3806.7533333333336	0.0	114.13388888888889	0.0	214.1197222222222	0.0	0.0	0.0	16369.309722222222	0.0
11	221.16361111111112	0.0	936.5661111111111	0.0	11264.450833333334	0.0	292.7916666666667	0.0	834.2080555555556	660.7116666666667	3819.1455555555553	0.0	114.04694444444445	0.0	232.35861111111112	0.0	0.0	0.0	16310.818888888889	0.0
12	207.7913888888889	0.0	1003.3936111111111	0.0	11228.253055555555	0.0	287.6111111111111	0.0	848.0952777777778	644.9983333333333	3832.748888888889	0.0	114.17083333333333	0.0	237.18694444444444	0.0	0.0	0.0	16121.479722222222	0.0
13	233.51583333333335	0.0	945.4655555555555	0.0	11246.64	0.0	286.93944444444446	0.0	890.5375	693.2308333333333	3807.579166666667	0.0	114.20777777777778	0.0	228.00583333333333	0.0	0.0	0.0	16317.345833333333	0.0
14	231.63194444444446	0.0	1082.7794444444444	0.0	11178.912222222221	0.0	284.98527777777775	0.0	873.4891666666666	668.6188888888889	3819.715833333333	0.0	114.32555555555555	0.0	253.0175	0.0	0.0	0.0	16542.95138888889	0.0
15	204.00666666666666	0.0	1198.1686111111112	0.0	11175.630277777778	0.0	285.10805555555555	0.0	821.8213888888889	599.9938888888889	3822.0491666666667	0.0	114.33027777777778	0.0	248.53722222222223	0.0	0.0	0.0	16458.329444444444	0.0
16	220.63472222222222	0.0	1090.6677777777777	0.0	11198.298611111111	0.0	286.5208333333333	0.0	865.1138888888889	637.8961111111112	3798.157222222222	0.0	114.31416666666667	0.0	242.73805555555555	0.0	0.0	0.0	16640.770277777778	0.0
17	206.5702777777778	0.0	976.4769444444445	0.0	11215.219722222222	0.0	284.8252777777778	0.0	868.2680555555555	687.4686111111112	3812.7930555555554	0.0	114.02055555555556	0.0	245.82527777777779	0.0	0.0	0.0	16451.521666666667	0.0
18	208.55527777777777	0.0	1115.8647222222223	0.0	11151.551388888889	0.0	283.0422222222222	0.0	857.7558333333334	635.7622222222222	3856.1741666666667	0.0	114.06138888888889	0.0	244.01055555555556	0.0	0.0	0.0	16424.358888888888	0.0
19	209.4063888888889	0.0	1197.088888888889	0.0	11091.432777777778	0.0	283.27166666666665	0.0	895.1175	661.0488888888889	3849.3077777777776	0.0	114.05972222222222	0.0	244.41027777777776	0.0	0.0	0.0	16464.524444444443	0.0
20	218.41916666666665	0.0	1082.4155555555556	0.0	11173.790277777778	0.0	282.80583333333334	0.0	858.3519444444445	643.4255555555555	3806.882777777778	0.0	114.16444444444444	0.0	258.96444444444444	0.0	0.0	0.0	16352.771388888888	0.0
21	192.01416666666665	0.0	1189.2658333333334	0.0	11146.232222222223	0.0	284.11833333333334	0.0	844.6327777777777	619.8411111111111	3836.7258333333334	0.0	114.08194444444445	0.0	245.8786111111111	0.0	0.0	0.0	16303.218611111111	0.0
22	189.42166666666665	0.0	1139.7727777777777	0.0	11161.704166666666	0.0	285.30694444444447	0.0	847.8638888888889	608.1516666666666	3812.175	0.0	114.27472222222222	0.0	247.815	0.0	0.0	0.0	16474.95888888889	0.0
23	201.3125	0.0	1150.005	0.0	11135.887777777778	0.0	282.63305555555553	0.0	846.8352777777778	633.7541666666667	3824.0202777777777	0.0	114.26138888888889	0.0	260.53027777777777	0.0	0.0	0.0	16360.525833333333	0.0
24	185.67027777777778	0.0	1102.6416666666667	0.0	11133.611111111111	0.0	282.9975	0.0	814.0002777777778	630.6858333333333	3834.68	0.0	114.22444444444444	0.0	238.81583333333333	0.0	0.0	0.0	16627.968333333334	0.0
25	205.3625	0.0	1075.4122222222222	0.0	11107.826666666666	0.0	282.90972222222223	0.0	835.5363888888888	649.4466666666667	3868.246111111111	0.0	114.23416666666667	0.0	260.5833333333333	0.0	0.0	0.0	16300.366944444444	0.0
26	215.5738888888889	0.0	1103.5822222222223	0.0	11095.658611111112	0.0	281.9738888888889	0.0	864.8688888888889	656.2491666666666	3856.4733333333334	0.0	114.23055555555555	0.0	262.05611111111114	0.0	0.0	0.0	16453.920833333334	0.0
27	218.87722222222223	0.0	1146.2005555555556	0.0	11083.77638888889	0.0	281.07	0.0	889.6730555555556	646.6097222222222	3859.4730555555557	0.0	114.32972222222222	0.0	256.4197222222222	0.0	0.0	0.0	16527.783888888887	0.0
28	207.4488888888889	0.0	1132.711388888889	0.0	11142.0225	0.0	281.4863888888889	0.0	850.7683333333333	652.8694444444444	3851.6458333333335	0.0	114.05361111111111	0.0	243.34722222222223	0.0	0.0	0.0	16253.402777777777	0.0
