Iteration	access_egress_pt	bike	car	freight	pt	ride	ride_school_bus	ride_taxi	walk
0	1871.1655505533038	2493.620961154178	676186.190002054	21780.317418417082	20390.530728702568	235581.82944099116	5665.266142174617	4055.336921297525	54467.115675961
1	2546.9527620214594	5110.428739962835	667115.1012546368	21795.24217614893	24114.63287788174	230766.9864861417	5666.028003395576	8923.942398689787	57044.99375588293
2	2764.978349853882	7332.729605709043	661459.0260541814	21742.38330239263	25063.102464025396	230543.22888434416	5670.819119181107	10045.222750937928	58366.185577741664
3	2541.605429459243	7198.640776929524	660019.4783226955	21747.425982387325	24505.965101068403	230065.96099228767	5665.2877485929685	10128.547523197225	60487.04171550494
4	2539.1809588759893	7760.356426004055	657434.6298479813	22024.013577063877	24503.263118815492	229330.3239659957	5666.0266316535235	11002.363115290298	61493.090775724755
5	2633.228959609928	8361.023477957715	656159.1710964172	21892.812896405525	24636.10168049925	231272.87750202377	5677.872392231098	10763.749286219583	60653.49756811464
6	2601.7100360284226	9772.55189399879	654808.70077715	21894.745207239586	24585.207479694876	229398.480536021	5671.009663088323	11457.636391742073	61321.728624526026
7	2531.926710219258	9230.1044095333	655325.6412273828	21710.490214131183	24994.84863492131	228820.0110453435	5671.029923046106	11098.558066920203	61658.5442990564
8	2540.1459305077506	9248.655411890095	651619.9172019194	21706.701298668035	24780.572004042682	231085.93510929376	5674.283921089316	12785.25084103245	61601.84200009404
9	3137.9246720748006	8463.10850473748	649162.4881474557	21736.511396623515	27047.99638904521	230234.0784603203	5670.823284423078	13949.391484619331	61584.462507630386
10	3604.120033729233	9114.990751136049	648711.2049804765	21903.602770256693	26997.473338479846	229153.13049152025	5670.572216299634	12954.444723622484	62272.85955962936
11	3318.882469862906	10585.518766217721	647363.3344964611	21934.44909181945	26423.423154301894	230188.23693060805	5679.536927768091	13843.598302517954	62050.563302333416
12	3118.3156783177164	11340.676515639136	645542.4282696244	21749.73578673624	25550.185882805028	231496.98698809446	5664.931768209956	14253.22934164418	61330.97102351644
13	3504.2539735738815	10686.070804024484	645497.0582979202	21745.141932952643	27823.65985894148	230028.1535535206	5662.2607446288675	13346.251440937904	62075.21141014411
14	3476.002855434717	12237.834579050783	641155.3331746698	21706.071387867854	27476.232796548447	230633.52805677734	5670.0832569157	15596.565823439581	62932.50007552651
15	3061.524697586725	13541.897977227862	642478.0477874579	21684.411702723213	25374.303112627033	230829.5464262567	5681.408074180128	14968.3515522761	62610.85011184971
16	3310.9821537410826	12327.005975858081	644272.2901655992	21803.485304241323	26209.873123047622	228724.06806002703	5680.914738383065	14709.205171003685	63304.10233840582
17	3100.020153951712	11036.606768738495	644883.045761791	21679.50731038691	26749.899606790506	229866.3787448728	5673.182447653331	14706.252101073338	62585.041813640935
18	3129.7885773477465	12611.741400943312	640714.9655383934	21658.482159493364	26026.421036289892	233235.1450460425	5658.674073019217	14163.685017645505	62481.84266443723
19	3142.53720684419	13529.677184989328	637288.8681178954	21659.419791580924	27221.585961899855	233445.34534451438	5650.016173926054	14276.591980870908	62634.25940250907
20	3277.77117152853	12233.76705911205	642285.6014236045	21662.261885698048	26546.043586527794	229956.27892398226	5655.388709680583	15616.779840311667	62209.712027029054
21	2881.6476006912962	13441.189771722777	640614.31140242	21665.590659589765	25902.967262957456	231841.0449678863	5664.314297766819	14668.303073679557	62021.42229714218
22	2842.7262270777805	12881.929566479752	642080.7043707807	21678.039570217417	25912.46046928777	229761.35966559878	5658.257307081855	14533.638271644326	62673.9873920254
23	3021.100432713288	12997.654037215	640991.9053510935	21623.727064700055	25779.699763707176	230452.67860446192	5662.0609583356745	15696.033446137326	62239.1126312818
24	2786.4566100828115	12462.454804171462	641095.3126349874	21637.4333377541	24722.22050388047	231072.39177146848	5668.901956637197	14017.748700019774	63255.32678128113
25	3081.8826871530064	12154.751794802092	638986.4060349745	21626.384874779644	25322.945165337413	233613.84930344886	5661.240087560938	15732.178456525757	62010.512862475945
26	3235.0806799478755	12473.043773037929	638352.5247021947	21602.148670553437	26335.15564583479	232778.54545603727	5651.75213287632	15616.417417465062	62593.963928861616
27	3284.679483574671	12954.669795841304	638156.5588602339	21589.16014736836	27271.30155836868	233136.17748215617	5651.139255974122	14970.019707317428	62874.6354077651
28	3113.08741610492	12802.230445215338	640194.9546201295	21600.68628969987	26086.780839062554	232527.80983406023	5658.736572382214	14384.381296405036	61832.10355415811
29	3082.0508959151402	11901.81816643784	641551.1973110194	21583.159502861305	26683.12897948741	231943.30560209407	5657.789951244076	14234.732185617002	62089.38614951415
30	3118.6288565257014	12075.176742386639	641004.7925779185	21581.208829676292	26229.035263353344	232366.37968643915	5659.440874508703	13589.110064082652	62179.85061851693
31	2558.535647420011	11752.154925852996	638563.2863461368	21593.092026424303	24534.59094138509	234002.27873826676	5661.255910372862	16094.08172357233	61491.48309794849
32	3096.0451694186077	12369.404509922846	642432.9109851664	21494.383222306195	25417.685486016857	234630.58716544023	5681.715652375894	14294.354717005275	61020.7763264229
33	3357.2458528172997	11870.753776542067	647684.895855573	21601.68198734487	25683.73517759057	237707.50566614975	5752.79789073185	14474.497196740645	61289.51266163186
34	2771.602325179416	11400.954420842787	641571.9252087153	21561.447967627486	25031.792586011863	237385.71522230128	5706.548416957701	13053.007807306662	61246.73129536094
35	2821.6278860113284	11611.75905762126	642923.7530771642	21531.838902776115	24190.091749579824	237176.09727827465	5677.788070757213	13219.721756748057	60661.52745761829
36	3185.367402067622	11836.437911933634	641031.2197505399	21512.421808105282	24123.364684832406	235769.60428911814	5670.897054606492	14399.397371342184	60234.42230241852
37	3465.415427581251	12053.190106709611	642338.0137875685	21506.660068177243	25771.627669113816	234664.18486674156	5659.766948169515	13299.981073236115	60783.028263320055
38	2860.2375705607346	11751.86071760847	650393.1760932239	21504.337611797328	25307.09647261938	240521.00679537	5794.344340124327	14140.90629246587	61268.015144288736
39	3163.2846968597128	12512.64176829432	640860.2110740303	21497.29721441969	25956.785894869583	238774.11594121234	5774.492785196533	13918.218832775721	60446.23922203833
40	2709.0262543049807	11248.009709085438	642278.1230140151	21524.631917529114	24838.429822921928	239148.56504729207	5759.978988881304	12309.22158973895	59988.22513398493
41	2560.7103282986654	10878.189693403805	645167.2788489619	21496.146037324103	22678.254306359333	239662.9423366651	5744.107219668767	12322.981325220499	59187.70582709012
42	2721.544904035696	10949.497111540633	645540.6910583825	21544.09112460971	22720.39984817265	237079.5032106273	5717.662472563987	11327.164786260922	60698.19605337306
43	2482.0170318385303	10780.804154186282	646986.0751887023	21525.158214204585	23260.60765677864	238106.99812433615	5728.494701651876	11041.592929462853	58927.20337914413
44	2624.607455843198	12064.49869830469	645907.5314341042	21491.78125510039	22157.97580848744	237243.1222104571	5696.554735774495	11903.998194210448	59797.4440302755
45	2784.50193865832	12599.563079120246	642404.1404813316	21494.77182636621	22753.971455300853	237996.654344777	5698.728990960438	12904.84163261678	59401.214131487
46	2546.9653992703884	11556.000472057285	644197.1439628698	21600.09366682646	23249.63717965266	239276.48493238635	5695.112751481563	11407.519938130188	59176.38516154862
47	2793.1545708644953	12128.16965424839	643017.5035970309	21587.844062451495	24306.564209995224	239109.98084129256	5684.003493459145	11223.012129339935	58211.57454509115
48	2861.4517562908927	11687.147778648387	644194.6623389589	21721.49997803643	22943.56517069641	238482.77025577935	5700.625721926566	11031.71968347187	58193.6827034537
49	2529.627338758706	10656.684777086773	649046.1487031842	21742.442974360216	23681.422679557585	242042.07399474172	5746.40338310525	10553.910799733518	60560.63630262976
50	2672.3725248251762	11236.653518663696	642412.7879797001	21611.684008758068	21012.376794251246	242946.76933390636	5728.579301869401	11667.12573102645	59387.8724086129
51	2382.0940972665117	10477.272331613596	642537.179206339	21604.808372619278	22404.367701491483	241260.03688660177	5747.972737470389	11723.295320872669	60099.26501685945
52	2995.5631818412135	10861.18435763261	643080.1479760903	21587.7106864384	24048.168572989674	239457.88211629336	5752.610806661987	12506.678449535277	58923.728380192304
53	2374.9137257372017	11215.249413608453	643641.8379227072	21565.012769779616	22822.762468529978	239017.44193359136	5737.455802817878	11702.064265758603	58874.50714703441
54	2336.362742632369	10570.656910835813	645683.7846147713	21612.166301558675	22951.012364172268	238358.42971183598	5728.870003550292	11896.094279136323	58193.93036199416
55	2387.526973136252	10424.446557371773	643616.1705207593	21500.90311219627	22463.34035114529	241515.270969864	5730.862022952581	10122.00306166099	58451.68289885382
56	2308.6080342102787	9873.167022470647	647548.7039185065	21484.98333202445	22032.272776412352	239301.17487950603	5725.0880425991745	11227.178825791501	57911.67091000355
57	2368.7987252148573	10463.118174831923	645011.8326016746	21500.155930884037	21720.228891728446	239604.07203353234	5723.406513264126	12344.834798775099	58186.74647158569
58	2686.9618983232754	11238.167377826381	644172.7894934842	21388.657873291642	22404.9977028702	240336.48512473103	5726.3615288364335	10329.116685093471	58206.44649496812
59	2322.9001303596024	11067.443909578891	646107.3191538577	21404.202171688557	22093.48099482973	239932.2595141624	5721.084182909446	11215.717792811814	56993.53260980957
60	2313.693710484085	10944.758034030701	646006.5244397357	21414.077752647856	21991.951431736747	241926.03085476434	5693.286529515667	9136.213013805454	56978.02547921526
61	2503.7125736473495	11051.843105454847	642817.473964329	21401.967408468136	22955.045889854155	241397.40360962364	5686.3481914112435	10288.645245476346	57700.540492457396
62	2338.9220589361657	10835.552448943208	644649.7611823938	21401.702866768577	21305.92248932808	241444.06650407918	5701.500805078196	9644.713204373427	58414.156788917695
63	2445.030328553763	11768.861162105939	646531.0559508351	21397.189232193537	20695.046683394517	240128.53254251266	5687.764722159546	10159.426087002832	56711.995061763606
64	2196.282748386139	11055.318060379894	645898.9381333007	21521.087149751413	20918.069914457275	239967.91772474514	5697.601011376798	10957.036344557271	57948.89866832417
65	2206.7448044530797	10430.183121692144	645226.375664324	21418.165815930228	21388.004335299924	242165.58987521107	5703.261656888284	9913.069794330917	57277.924486673015
66	2072.8480872719542	11737.707270303024	646398.8046425084	21423.554985017687	20323.26816933561	244171.3605305825	5746.177224792083	10293.355470341807	56551.74634054971
67	1982.349405458254	10862.31547281295	644175.8791456433	21395.26531145615	19884.33375287183	244897.55670478454	5725.550075805291	8880.519157710558	57504.91483374078
68	1954.842809009734	10561.417955092225	648409.6948053188	21402.50963047771	20769.034993308058	241207.0886639709	5712.2845392252475	9464.34575191249	56933.90742843793
69	1858.9115875710397	12026.715946359753	644502.1634533906	21360.846017233504	19428.108098357687	242395.17051764007	5710.73969654426	9104.37193233999	57269.44129673236
70	2237.3144174074737	8995.133882739772	647402.3863952608	21351.015793039496	21394.00428419356	241543.014831943	5701.389532693688	9652.804414089182	56557.63943763368
71	2436.1336586383272	10039.588553870484	655591.4012812076	21330.08005150102	21321.059097541758	245202.89719281028	5765.3844493278	10589.933483187975	56095.00433208294
72	2031.3919458387447	11047.901601040861	646515.0424185068	21343.30895061484	20576.582358119755	241691.96028444936	5757.461206534783	9677.448258083117	57006.980264939906
73	2105.018071367188	11795.547532234079	646253.281418944	21328.70197192552	20397.736539464197	241385.52019115313	5739.847869301616	8962.136586077495	56812.63302105589
74	2116.7452863105573	11297.073583263149	646186.7826218556	21346.821444272013	21263.28744482902	242128.2559645062	5750.449262944735	10086.335863901006	56490.95880137585
