Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:45:21	13:45:21	13:45:21			13:45:21	13:45:22	13:45:31	13:45:32	13:45:32	13:45:37	13:45:37	13:47:24	13:47:24	13:47:24	13:47:24	13:47:24	13:47:24			13:47:47	13:47:47		00:00:00		00:00:09	00:00:10	00:00:05	00:01:47	00:00:00	00:00:00		00:00:22	00:02:25
1	13:47:47	13:47:47	13:47:47	13:47:47	13:48:04	13:48:04	13:48:05	13:48:15	13:48:15	13:48:15	13:48:20	13:48:20	13:49:22	13:49:22	13:49:22	13:49:22	13:49:22	13:49:22			13:49:24	13:49:24		00:00:00	00:00:16	00:00:09	00:00:10	00:00:05	00:01:02	00:00:00	00:00:00		00:00:01	00:01:36
2	13:49:24	13:49:24	13:49:24	13:49:24	13:49:45	13:49:45			13:49:45	13:49:45	13:49:51	13:49:51	13:50:58	13:50:58	13:50:58	13:50:58	13:50:58	13:50:58			13:51:00	13:51:00		00:00:00	00:00:20		00:00:00	00:00:05	00:01:07	00:00:00	00:00:00		00:00:01	00:01:36
3	13:51:00	13:51:00	13:51:01	13:51:01	13:51:16	13:51:16			13:51:16	13:51:16	13:51:22	13:51:22	13:52:26	13:52:26	13:52:27	13:52:27	13:52:27	13:52:27			13:52:28	13:52:28		00:00:00	00:00:15		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00		00:00:01	00:01:27
4	13:52:28	13:52:28	13:52:28	13:52:28	13:52:45	13:52:45			13:52:46	13:52:46	13:52:51	13:52:51	13:53:54	13:53:54	13:53:54	13:53:54	13:53:54	13:53:54			13:53:56	13:53:56		00:00:00	00:00:16		00:00:00	00:00:05	00:01:03	00:00:00	00:00:00		00:00:01	00:01:27
5	13:53:56	13:53:56	13:53:56	13:53:56	13:54:18	13:54:18			13:54:19	13:54:19	13:54:24	13:54:24	13:55:27	13:55:27	13:55:27	13:55:27	13:55:27	13:55:27			13:55:29	13:55:29		00:00:00	00:00:21		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:01	00:01:32
6	13:55:29	13:55:29	13:55:29	13:55:29	13:55:45	13:55:45			13:55:46	13:55:46	13:55:51	13:55:51	13:56:53	13:56:53	13:56:53	13:56:53	13:56:53	13:56:53			13:56:59	13:56:59		00:00:00	00:00:16		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:05	00:01:30
7	13:56:59	13:56:59	13:56:59	13:56:59	13:57:15	13:57:15			13:57:16	13:57:16	13:57:22	13:57:22	13:58:27	13:58:27	13:58:27	13:58:27	13:58:27	13:58:27			13:58:33	13:58:33		00:00:00	00:00:16		00:00:01	00:00:05	00:01:05	00:00:00	00:00:00		00:00:05	00:01:33
8	13:58:33	13:58:33	13:58:33	13:58:33	13:58:51	13:58:51			13:58:52	13:58:52	13:58:57	13:58:57	14:00:04	14:00:04	14:00:04	14:00:04	14:00:04	14:00:04			14:00:09	14:00:09		00:00:00	00:00:17		00:00:00	00:00:05	00:01:06	00:00:00	00:00:00		00:00:05	00:01:36
9	14:00:09	14:00:09	14:00:10	14:00:10	14:00:31	14:00:31			14:00:31	14:00:31	14:00:37	14:00:37	14:01:42	14:01:42	14:01:46	14:01:46	14:01:46	14:01:46			14:01:52	14:01:52		00:00:00	00:00:20		00:00:00	00:00:05	00:01:05	00:00:04	00:00:00		00:00:05	00:01:42
10	14:01:52	14:01:52	14:01:52	14:01:52	14:02:11	14:02:11			14:02:12	14:02:12	14:02:17	14:02:17	14:03:19	14:03:19	14:03:19	14:03:19	14:03:19	14:03:19	14:03:19	14:03:19	14:04:36	14:04:36		00:00:00	00:00:18		00:00:01	00:00:05	00:01:01	00:00:00	00:00:00	00:00:00	00:01:17	00:02:44
11	14:04:36	14:04:36	14:04:37	14:04:37	14:04:54	14:04:54			14:04:55	14:04:55	14:05:00	14:05:00	14:06:04	14:06:04	14:06:04	14:06:04	14:06:04	14:06:04			14:06:06	14:06:06		00:00:00	00:00:16		00:00:00	00:00:04	00:01:04	00:00:00	00:00:00		00:00:01	00:01:29
12	14:06:06	14:06:06	14:06:06	14:06:06	14:06:23	14:06:23			14:06:24	14:06:24	14:06:29	14:06:29	14:07:30	14:07:30	14:07:30	14:07:30	14:07:30	14:07:30			14:07:31	14:07:31		00:00:00	00:00:17		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:01	00:01:25
13	14:07:31	14:07:31	14:07:32	14:07:32	14:07:50	14:07:50			14:07:51	14:07:51	14:07:56	14:07:56	14:08:57	14:08:57	14:08:57	14:08:57	14:08:57	14:08:57			14:08:59	14:08:59		00:00:00	00:00:18		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:01	00:01:27
14	14:08:59	14:08:59	14:08:59	14:08:59	14:09:16	14:09:16			14:09:16	14:09:16	14:09:22	14:09:22	14:10:27	14:10:27	14:10:27	14:10:27	14:10:27	14:10:27			14:10:28	14:10:28		00:00:00	00:00:16		00:00:00	00:00:05	00:01:05	00:00:00	00:00:00		00:00:01	00:01:29
15	14:10:28	14:10:28	14:10:29	14:10:29	14:10:45	14:10:45			14:10:46	14:10:46	14:10:51	14:10:51	14:11:53	14:11:53	14:11:53	14:11:53	14:11:53	14:11:53			14:12:00	14:12:00		00:00:00	00:00:16		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:07	00:01:31
16	14:12:00	14:12:00	14:12:01	14:12:01	14:12:17	14:12:17			14:12:18	14:12:18	14:12:23	14:12:23	14:13:28	14:13:28	14:13:28	14:13:28	14:13:28	14:13:28			14:13:33	14:13:33		00:00:00	00:00:16		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00		00:00:05	00:01:32
17	14:13:34	14:13:34	14:13:34	14:13:34	14:13:51	14:13:51			14:13:52	14:13:52	14:13:57	14:13:57	14:14:57	14:14:57	14:14:57	14:14:57	14:14:57	14:14:57			14:15:02	14:15:02		00:00:00	00:00:17		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00		00:00:05	00:01:28
18	14:15:03	14:15:03	14:15:03	14:15:03	14:15:22	14:15:22			14:15:23	14:15:23	14:15:28	14:15:28	14:16:30	14:16:30	14:16:30	14:16:30	14:16:30	14:16:30			14:16:35	14:16:35		00:00:00	00:00:19		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:05	00:01:32
19	14:16:35	14:16:35	14:16:36	14:16:36	14:16:53	14:16:53			14:16:54	14:16:54	14:16:59	14:16:59	14:18:03	14:18:03	14:18:03	14:18:03	14:18:03	14:18:03			14:18:09	14:18:09		00:00:00	00:00:17		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00		00:00:05	00:01:33
20	14:18:09	14:18:09	14:18:09	14:18:09	14:18:25	14:18:25			14:18:26	14:18:26	14:18:32	14:18:32	14:19:36	14:19:36	14:19:36	14:19:36	14:19:36	14:19:36	14:19:36	14:19:36	14:21:00	14:21:00		00:00:00	00:00:16		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00	00:00:00	00:01:24	00:02:51
21	14:21:00	14:21:00	14:21:02	14:21:02	14:21:18	14:21:18			14:21:19	14:21:19	14:21:24	14:21:24	14:22:28	14:22:28	14:22:28	14:22:28	14:22:28	14:22:28			14:22:29	14:22:29		00:00:01	00:00:16		00:00:00	00:00:04	00:01:03	00:00:00	00:00:00		00:00:01	00:01:28
22	14:22:29	14:22:29	14:22:30	14:22:30	14:22:47	14:22:47			14:22:47	14:22:47	14:22:53	14:22:53	14:23:56	14:23:56	14:23:56	14:23:56	14:23:56	14:23:56			14:23:58	14:23:58		00:00:00	00:00:17		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:01	00:01:28
23	14:23:58	14:23:58	14:23:58	14:23:58	14:24:21	14:24:21			14:24:21	14:24:21	14:24:26	14:24:26	14:25:32	14:25:32	14:25:32	14:25:32	14:25:32	14:25:32			14:25:33	14:25:33		00:00:00	00:00:22		00:00:00	00:00:05	00:01:05	00:00:00	00:00:00		00:00:01	00:01:35
24	14:25:33	14:25:33	14:25:34	14:25:34	14:25:49	14:25:49			14:25:50	14:25:50	14:25:55	14:25:55	14:26:56	14:26:56	14:26:56	14:26:56	14:26:56	14:26:56			14:26:58	14:26:58		00:00:00	00:00:15		00:00:00	00:00:04	00:01:00	00:00:00	00:00:00		00:00:01	00:01:24
